timestamp,global_iter,version,sp_p1_wins,sp_p2_wins,sp_draws,sp_avg_plies,ab_games,sims_used,train_loss,policy_loss,value_loss,best_val_loss,aux_value_weight,lr_used,epochs_used,eval_score,eval_w,eval_l,eval_d,promoted,reverted_to
2026-04-25T09:09:11,1,selfplay-v1,60,39,1,33.14,20,600,1.4814,1.3532,0.1282,1.5223,0.4,0.0003,2,0.3000,9,21,0,0,
2026-04-25T09:29:34,2,selfplay-v2,56,44,0,31.94,20,600,1.5060,1.3770,0.1291,1.6462,0.4,0.0003,2,0.4000,12,18,0,0,
2026-04-25T09:48:59,3,selfplay-v3,50,50,0,32.46,20,600,1.5317,1.4001,0.1316,1.6704,0.4,0.0003,2,0.3667,11,19,0,0,
2026-04-25T10:07:56,4,selfplay-v4,58,42,0,31.59,20,600,1.5592,1.4277,0.1315,1.6349,0.4,0.0003,2,0.4667,14,16,0,0,
2026-04-25T10:26:51,5,selfplay-v5,54,46,0,31.09,20,600,1.5875,1.4528,0.1346,1.6246,0.4,0.0003,2,0.5667,17,13,0,1,
2026-04-25T10:44:20,5,iter_0034,,,,,,,,,,,,,,,,,,0,iter_0034
2026-04-25T11:15:37,6,selfplay-v6,52,43,5,58.15,20,600,1.5020,1.3852,0.1168,1.6375,0.4,0.0003,2,0.5667,17,13,0,1,
2026-04-25T12:53:48,7,selfplay-v7,44,54,2,38.11,20,600,1.4751,1.3747,0.1004,1.4322,0.4,0.0003,2,0.3167,8,19,3,0,
2026-04-25T13:15:19,8,selfplay-v8,44,53,3,36.09,20,600,1.4935,1.3913,0.1022,1.4597,0.4,0.0003,2,0.4167,12,17,1,0,
2026-04-25T13:36:30,9,selfplay-v9,46,54,0,37.50,20,600,1.5137,1.4097,0.1040,1.5613,0.4,0.0003,2,0.5000,15,15,0,0,
2026-04-25T13:58:23,10,selfplay-v10,53,45,2,35.44,20,600,1.5408,1.4363,0.1045,1.4961,0.4,0.0003,2,0.6167,18,11,1,1,
2026-04-25T14:18:43,10,selfplay-v6,,,,,,,,,,,,,,,,,,0,selfplay-v6
2026-04-25T14:37:50,11,selfplay-v11,53,47,0,33.10,20,600,1.5406,1.4262,0.1144,1.5729,0.4,0.0003,2,0.5833,17,12,1,1,
2026-04-25T19:32:19,12,selfplay-v12,48,51,1,31.55,20,600,1.5503,1.4468,0.1035,1.5425,0.4,0.0003,2,0.5667,17,13,0,1,
2026-04-25T20:02:54,13,selfplay-v13,49,49,2,35.34,20,600,1.4982,1.4030,0.0953,1.4549,0.4,0.0003,2,0.5167,15,14,1,0,
2026-04-25T20:33:09,14,selfplay-v14,52,48,0,34.21,20,600,1.5242,1.4270,0.0972,1.4663,0.4,0.0003,2,0.5667,16,12,2,1,
2026-04-25T20:55:44,15,selfplay-v15,57,41,2,35.41,20,600,1.4854,1.3935,0.0919,1.4319,0.4,0.0003,2,0.6333,19,11,0,1,
2026-04-25T21:19:28,16,selfplay-v16,48,51,1,32.53,20,600,1.4701,1.3801,0.0899,1.3621,0.4,0.0003,2,0.4500,13,16,1,0,
